tagId,reviewId
29,33
17,22
34,27
27,1
34,3
20,22
4,37
16,34
36,7
5,39
27,6
40,26
26,5
21,3
5,12
6,7
18,38
3,4
38,18
7,2
25,24
29,27
18,19
30,1
17,35
16,34
26,16
27,5
2,7
39,8
37,28
38,19
29,29
25,26
39,29
18,19
27,18
15,16
4,39
31,21
25,35
37,38
23,34
26,1
39,18
26,16
32,22
29,29
39,13
7,12
2,39
30,31
32,25
18,27
39,39
33,19
13,1
16,35
34,23
36,17
28,17
21,27
5,15
33,15
36,17
7,3
10,27
25,16
20,38
14,2
25,11
26,3
18,28
25,5
40,7
3,10
31,19
1,3
40,5
7,14
5,1
22,24
38,34
4,2
36,27
3,17
6,14
36,34
28,30
40,21
7,10
11,7
26,18
19,31
30,30
2,40
6,14
7,18
39,37
14,35
